name1,season1,ppg1,apg1,rpg1,bpg1,spg1,tov1,gp1,mp1,sp1,name2,season2,ppg2,apg2,rpg2,bpg2,spg2,tov2,gp2,mp2,sp2,label
Anthony Davis,2012-13,13.5,1.0,8.2,1.2,1.8,1.4,64.0,28.8,0.516,Jaylen Brown,2017-18,14.5,1.6,4.9,1.0,0.4,1.8,70.0,30.7,0.465,1.0
Jaylen Brown,2017-18,14.5,1.6,4.9,1.0,0.4,1.8,70.0,30.7,0.465,Anthony Davis,2012-13,13.5,1.0,8.2,1.2,1.8,1.4,64.0,28.8,0.516,0.0
Anthony Davis,2012-13,13.5,1.0,8.2,1.2,1.8,1.4,64.0,28.8,0.516,Nikola Jokić,2021-22,25.6,6.8,13.5,1.2,0.7,3.2,18.0,32.6,0.577,0.0
Nikola Jokić,2021-22,25.6,6.8,13.5,1.2,0.7,3.2,18.0,32.6,0.577,Anthony Davis,2012-13,13.5,1.0,8.2,1.2,1.8,1.4,64.0,28.8,0.516,1.0
Anthony Davis,2013-14,20.8,1.6,10.0,1.3,2.8,1.6,67.0,35.2,0.519,Bradley Beal,2019-20,30.5,6.1,4.2,1.2,0.4,3.4,57.0,36.0,0.455,0.75
Bradley Beal,2019-20,30.5,6.1,4.2,1.2,0.4,3.4,57.0,36.0,0.455,Anthony Davis,2013-14,20.8,1.6,10.0,1.3,2.8,1.6,67.0,35.2,0.519,0.25
Anthony Davis,2013-14,20.8,1.6,10.0,1.3,2.8,1.6,67.0,35.2,0.519,Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,0.6666666666666666
Damian Lillard,2020-21,28.8,7.5,4.2,0.9,0.3,3.0,67.0,35.8,0.451,Anthony Davis,2013-14,20.8,1.6,10.0,1.3,2.8,1.6,67.0,35.2,0.519,0.33333333333333337
Anthony Davis,2013-14,20.8,1.6,10.0,1.3,2.8,1.6,67.0,35.2,0.519,Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,1.0
Dirk Nowitzki,2013-14,21.7,2.7,6.2,0.9,0.6,1.5,80.0,32.9,0.497,Anthony Davis,2013-14,20.8,1.6,10.0,1.3,2.8,1.6,67.0,35.2,0.519,0.0
Anthony Davis,2015-16,24.3,1.9,10.3,1.3,2.0,2.0,61.0,35.5,0.493,Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,0.5
Giannis Antetokounmpo,2014-15,12.7,2.6,6.7,0.9,1.0,2.1,81.0,31.4,0.491,Anthony Davis,2015-16,24.3,1.9,10.3,1.3,2.0,2.0,61.0,35.5,0.493,0.5
Anthony Davis,2015-16,24.3,1.9,10.3,1.3,2.0,2.0,61.0,35.5,0.493,Giannis Antetokounmpo,2018-19,27.7,5.9,12.5,1.3,1.5,3.7,72.0,32.8,0.578,0.0
Giannis Antetokounmpo,2018-19,27.7,5.9,12.5,1.3,1.5,3.7,72.0,32.8,0.578,Anthony Davis,2015-16,24.3,1.9,10.3,1.3,2.0,2.0,61.0,35.5,0.493,1.0
